id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
4b825dc642cb6eb9a060e54bf8d69288fbee4904...fac0e698a85ade9cb6a18fd400bcbdf118d5e4eb,2,60,30.0,60,30.0,14579,0,14579,7289.5,14581,2,14583,7291.5,55,27.5,56,28.0,1,1,2010-01-06 00:36:58,2010-01-06 00:57:36,0.343888888889,2010-01-06 00:36:58,2010-01-06 00:57:36,0.343888888889
4b825dc642cb6eb9a060e54bf8d69288fbee4904...866346e1ada583daeb649c253516c8f8a879c387,1,2,2.0,2,2.0,25,0,25,25.0,25,0,25,25.0,2,2.0,2,2.0,1,1,1970-01-01 00:00:01,1970-01-01 00:00:01,0.0,1970-01-01 00:00:01,1970-01-01 00:00:01,0.0
fac0e698a85ade9cb6a18fd400bcbdf118d5e4eb...19bbee030ba012b8fc4835c1d17e039804b2b94b,1,2,2.0,2,2.0,4,3,7,7.0,4,3,7,7.0,4,4.0,4,4.0,1,1,2010-01-12 17:34:27,2010-01-12 17:34:27,0.0,2010-01-12 17:34:27,2010-01-12 17:34:27,0.0
fac0e698a85ade9cb6a18fd400bcbdf118d5e4eb...27709c3f69384a7630aa336a1e73e730ea5f9790,13,66,5.07692307692,66,5.07692307692,7816,4175,11991,922.384615385,12470,8829,21299,1638.38461538,681,52.3846153846,1442,110.923076923,1,1,2010-01-09 00:04:35,2010-01-12 22:19:19,94.2455555556,2010-01-09 00:04:35,2010-01-12 22:19:19,94.2455555556
0b630972b15676b1c1b6c59edd564e4ee331ec70...4ea337f0c93b0b140dd9cf326c134f716875b65e,5,13,2.6,13,2.6,285,271,556,111.2,314,300,614,122.8,134,26.8,151,30.2,2,2,2010-01-26 04:30:22,2010-01-27 00:25:53,19.9252777778,2010-01-26 04:30:22,2010-01-27 00:25:53,19.9252777778
27709c3f69384a7630aa336a1e73e730ea5f9790...595b4ea097bcb512173b6d4a12924ea1a3d70ecd,1,14,14.0,14,14.0,2376,156,2532,2532.0,2376,156,2532,2532.0,23,23.0,23,23.0,1,1,2010-01-18 18:47:03,2010-01-18 18:47:03,0.0,2010-01-18 18:47:03,2010-01-18 18:47:03,0.0
27709c3f69384a7630aa336a1e73e730ea5f9790...86dd83fbd4118acfb01d9a1043f35af170843e8a,1,1,1.0,1,1.0,50,0,50,50.0,50,0,50,50.0,1,1.0,1,1.0,1,1,2010-01-18 18:43:45,2010-01-18 18:43:45,0.0,2010-01-18 18:43:45,2010-01-18 18:43:45,0.0
dd9d8bf030688f589af6d47064a0d0eafea41bfa...3f9a2ab9bdfcd12cb7df74b0d38cecf2ee4ac94a,18,30,1.66666666667,30,1.66666666667,695,282,977,54.2777777778,1320,907,2227,123.722222222,170,9.44444444444,345,19.1666666667,1,1,2010-01-29 06:11:01,2010-02-13 03:39:01,357.466666667,2010-01-29 06:10:49,2010-02-13 03:39:01,357.47
7b558b5382c864b00392f50fa5095e53f7b486d0...473e57e22532f9b85fc9dcc1bcc53e12a10154c2,14,39,2.78571428571,39,2.78571428571,7398,1095,8493,606.642857143,7759,1456,9215,658.214285714,334,23.8571428571,473,33.7857142857,1,1,2010-01-19 01:56:08,2010-01-25 04:44:17,146.8025,2010-01-19 01:56:08,2010-01-25 04:44:17,146.8025
1500e91defa4020bfe9608749b25e585cd1d8e3d...ac3c2736c786abe996acc3d01d857dd5f0b3328a,3,3,1.0,3,1.0,24,12,36,12.0,26,14,40,13.3333333333,9,3.0,10,3.33333333333,1,1,2010-06-23 00:11:57,2010-07-13 21:15:01,501.051111111,2010-06-23 00:11:57,2010-07-13 21:15:01,501.051111111
3f9a2ab9bdfcd12cb7df74b0d38cecf2ee4ac94a...7e14dff90516a41ff1903cc44fe3389710f15556,1,4,4.0,4,4.0,18,15,33,33.0,18,15,33,33.0,10,10.0,10,10.0,1,1,2010-02-18 00:05:26,2010-02-18 00:05:26,0.0,2010-02-18 00:05:26,2010-02-18 00:05:26,0.0
3f9a2ab9bdfcd12cb7df74b0d38cecf2ee4ac94a...b561f6a0cc3e2e03c05925fbed3e06723f91b4b5,1,2,2.0,2,2.0,9,2,11,11.0,9,2,11,11.0,3,3.0,3,3.0,1,1,2010-02-17 05:30:15,2010-02-17 05:30:15,0.0,2010-02-17 05:30:15,2010-02-17 05:30:15,0.0
473e57e22532f9b85fc9dcc1bcc53e12a10154c2...3d99e0f6dee6569ca9471d419bda79aec95b9ebc,1,5,5.0,5,5.0,15,2,17,17.0,15,2,17,17.0,5,5.0,5,5.0,1,1,2010-01-29 04:44:34,2010-01-29 04:44:34,0.0,2010-01-29 04:44:34,2010-01-29 04:44:34,0.0
32361d03a147213747762e17d279639666ed85fb...8ddee9bb25ade2bbe7d57db6353b29867606c184,25,48,1.92,48,1.92,601,3768,4369,174.76,691,3858,4549,181.96,111,4.44,187,7.48,2,1,2010-07-14 23:40:27,2010-07-26 23:11:25,287.516111111,2010-07-14 19:08:55,2010-07-26 23:11:25,292.041666667
32361d03a147213747762e17d279639666ed85fb...9998b8dcbb2674ac680fd6598aea0840e69c0e1b,1,2,2.0,2,2.0,8,1,9,9.0,8,1,9,9.0,2,2.0,2,2.0,1,1,2010-07-14 19:08:55,2010-07-14 19:08:55,0.0,2010-07-14 19:08:55,2010-07-14 19:08:55,0.0
060c18c796f59703193efcf61818684187091663...79b743e52feb2c57ba0ae42d6d2742bc2189b22f,10,24,2.4,24,2.4,607,4319,4926,492.6,913,4625,5538,553.8,135,13.5,259,25.9,2,2,2010-02-18 04:50:13,2010-03-15 22:57:12,618.116388889,2010-02-18 04:50:13,2010-03-15 22:57:12,618.116388889
8ddee9bb25ade2bbe7d57db6353b29867606c184...89245f3a527415a80d46b37054b558454c314532,9,19,2.11111111111,19,2.11111111111,207,120,327,36.3333333333,314,227,541,60.1111111111,54,6.0,80,8.88888888889,2,2,2010-07-27 22:54:50,2010-08-03 23:53:27,168.976944444,2010-07-27 22:54:50,2010-08-03 23:53:27,168.976944444
f09415d0de5d383efc9e2cb35d1323a5aac2371d...894ffadc8c35da6c7daf3e16a9f4931b24f3b231,8,30,3.75,30,3.75,797,469,1266,158.25,807,479,1286,160.75,196,24.5,210,26.25,1,1,2010-08-18 23:04:40,2010-09-14 21:22:15,646.293055556,2010-08-18 23:04:40,2010-09-14 21:22:15,646.293055556
79b743e52feb2c57ba0ae42d6d2742bc2189b22f...923289112e34c2d426f6b2e687e93601894fb088,1,1,1.0,1,1.0,121,0,121,121.0,121,0,121,121.0,1,1.0,1,1.0,1,1,2010-03-16 17:30:26,2010-03-16 17:30:26,0.0,2010-03-16 17:30:26,2010-03-16 17:30:26,0.0
79b743e52feb2c57ba0ae42d6d2742bc2189b22f...9e1f085ba6e224893abc04be181f8748939bfe77,3,18,6.0,18,6.0,293,30,323,107.666666667,295,32,327,109.0,32,10.6666666667,34,11.3333333333,1,1,2010-03-16 00:02:54,2010-03-16 00:05:45,0.0475,2010-03-16 00:02:54,2010-03-16 00:05:45,0.0475
89245f3a527415a80d46b37054b558454c314532...7673b2a2b291a4fc627e1cbdb8201f116a97b016,4,7,1.75,7,1.75,39,13,52,13.0,39,13,52,13.0,18,4.5,18,4.5,1,1,2010-08-05 21:01:46,2010-08-10 18:46:12,117.740555556,2010-08-05 21:01:46,2010-08-10 18:46:12,117.740555556
b42072733c3afd03a49457d88ffed28ebe55655e...ef88eb9a71ee7666029c4fb5eb731ce2e986cecc,4,7,1.75,7,1.75,121,143,264,66.0,257,279,536,134.0,40,10.0,56,14.0,1,1,2010-07-27 22:43:14,2010-07-28 00:04:37,1.35638888889,2010-07-27 22:43:14,2010-07-28 00:04:37,1.35638888889
2a3a449c6d55cf41a9ceb76608438c0488cbe3c0...427ee93f11d0ef64b8844f9b43b2a0f21f2be2cb,2827,893,0.315882561019,1638,0.579412805094,217998,21705,239703,84.7905907322,394009,197716,591725,209.31199151,974,0.344534842589,44426,15.7148921118,383,23,2010-09-15 22:20:35,2013-08-29 23:07:49,25896.7872222,2010-09-15 04:53:19,2013-08-29 19:47:51,25910.9088889
